PMID,Year,Title,Journal,Host Species,Host Species Ontology ID,Host Species Ontology Candidates,Body Site,Body Site Ontology ID,Body Site Ontology Candidates,Condition,Condition Ontology ID,Condition Ontology Candidates,Sample Size,Sequencing Type,Differential Abundance,In bsgdb
30039147,,Lactobacillus plantarum ZDY04 exhibits a strain-specific property of lowering TMAO via the modulation of gut microbiota in mice.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
30122883,,Altered oral microbiota in chronic hepatitis B patients with different tongue coatings.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,,16S,Yes,No
30091979,,Dynamic changes in human-gut microbiome in relation to a placebo-controlled anthelminthic trial in Indonesia.,,Homo sapiens,NCBITaxon:9606,,,,,,,,150,other,Yes,No
30089174,,Human pharyngeal microbiota in age-related macular degeneration.,,Homo sapiens,NCBITaxon:9606,,,,,,,,386,16S,Yes,No
30086729,,"Observational multi-centre, prospective study to characterize novel pathogen-and host-related factors in hospitalized patients with lower respiratory tract infections and/or sepsis - the ""TAILORED-Treatment"" study.",,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
30081953,,Breast cancer in postmenopausal women is associated with an altered gut metagenome.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,,metagenomics,Yes,No
30081517,,"Retinoic Acid, Leaky Gut, and Autoimmune Diseases.",,Mus musculus,NCBITaxon:10090,,,,,diabetes mellitus,EFO:0000400,,,,No,No
30074988,,Combined bacterial and fungal intestinal microbiota analyses: Impact of storage conditions and DNA extraction protocols.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,12,16S,Yes,No
30071894,,A prebiotic intervention study in children with autism spectrum disorders (ASDs).,,,,,feces,UBERON:0001988,,,,,,,Yes,No
30071046,,"Enhanced preservation of the human intestinal microbiota by ridinilazole, a novel Clostridium difficile-targeting antibacterial, compared to vancomycin.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,other,Yes,No
30071000,,Comparison of the upper and lower airway microbiota in children with chronic lung diseases.,,Homo sapiens,NCBITaxon:9606,,,,,,,,168,16S,Yes,No
29787419,,A locus at 7p14.3 predisposes to refractory celiac disease progression from celiac disease.,,Homo sapiens,NCBITaxon:9606,,,,,celiac disease,EFO:0001060,,,,Yes,No
29897654,,Helicobacter pylori eradication with bismuth quadruple therapy leads to dysbiosis of gut microbiota with an increased relative abundance of Proteobacteria and decreased relative abundances of Bacteroidetes and Actinobacteria.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,6,16S,Yes,No
29479697,,Cervicovaginal microbiota composition correlates with the acquisition of high-risk human papillomavirus types.,,Homo sapiens,NCBITaxon:9606,,,,,cancer,MONDO:0004992,,280,16S,Yes,No
30140925,,Identification and Visualization of a Distinct Microbiome in Ocular Surface Conjunctival Tissue.,,Homo sapiens,NCBITaxon:9606,,,,,,,,45,16S,Yes,No
29987933,,Pectin Alleviates High Fat (Lard) Diet-Induced Nonalcoholic Fatty Liver Disease in Mice: Possible Role of Short-Chain Fatty Acids and Gut Microbiota Regulated by Pectin.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
29804008,,Chronic sequelae and severe complications of norovirus infection: A systematic review of literature.,,Homo sapiens,NCBITaxon:9606,,,,,inflammatory bowel disease,EFO:0003764,,122,,Yes,No
29859693,,Short communication: A countrywide survey of antimicrobial-resistant indicator bacteria in Kosovo's dairy farms.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,165,,Yes,No
29923815,,Streptococcus and Prevotella are associated with the prognosis of oesophageal squamous cell carcinoma.,,Homo sapiens,NCBITaxon:9606,,,,,cancer,MONDO:0004992,,45,16S,Yes,No
29982534,,Inulin-Type Fructan Supplementation of 3- to 6-Year-Old Children Is Associated with Higher Fecal Bifidobacterium Concentrations and Fewer Febrile Episodes Requiring Medical Attention.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
30552302,,Microbial patterns in patients with histamine intolerance.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,64,16S,Yes,No
29412464,,Effects of bentonite Bgp35b-p on the gut microbiota of mice fed a high-fat diet.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,obesity,EFO:0001073,,,16S,Yes,No
29408012,,Biomarkers in idiopathic pulmonary fibrosis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29760502,,Infant colic: mechanisms and management.,,,,,,,,,,,,,No,No
30010849,,Mycobacterium tuberculosis H37Rv expresses differential proteome during intracellular survival within alveolar epithelial cells compared with macrophages.,,,,,,,,,,,,,Yes,No
29624747,,Fecal microbiome signatures are different in food-allergic children compared to siblings and healthy children.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,22,16S,Yes,No
30064419,,Predicting oral malodour based on the microbiota in saliva samples using a deep learning approach.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,90,16S,No,No
30053882,,Decreased microbiome diversity in the HIV small airway epithelium.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
30029674,,Functional intraepithelial lymphocyte changes in inflammatory bowel disease and spondyloarthritis have disease specific correlations with intestinal microbiota.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,,16S,Yes,No
29984576,,Consumption of Black Legumes Glycine soja and Glycine max Lowers Serum Lipids and Alters the Gut Microbiome Profile in Mice Fed a High-Fat Diet.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,obesity,EFO:0001073,,,16S,No,No
29895146,,Camellia Oil ( Camellia oleifera Abel.) Modifies the Composition of Gut Microbiota and Alleviates Acetic Acid-Induced Colitis in Rats.,,Rattus norvegicus,NCBITaxon:10116,,feces,UBERON:0001988,,inflammatory bowel disease,EFO:0003764,,,16S,Yes,No
30020932,,Diurnal oscillations in human salivary microRNA and microbial transcription: Implications for human health and disease.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,77,other,No,No
29974116,,Mannan-oligosaccharide modulates the obesity and gut microbiota in high-fat diet-fed mice.,,Mus musculus,NCBITaxon:10090,,,,,obesity,EFO:0001073,,,other,No,No
29909134,,The influence of the intestinal microbiome on vaccine responses.,,,,,feces,UBERON:0001988,,,,,,other,No,No
30050871,,,,,,,,,,,,,,16S,No,No
30002355,,"SunGold Kiwifruit Supplementation of Individuals with Prediabetes Alters Gut Microbiota and Improves Vitamin C Status, Anthropometric and Clinical Markers.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,diabetes mellitus,EFO:0000400,,,16S,Yes,No
30002323,,A Vegetarian Diet Is a Major Determinant of Gut Microbiota Composition in Early Pregnancy.,,Homo sapiens,NCBITaxon:9606,,,,,diabetes mellitus,EFO:0000400,,,16S,No,No
29973274,,Maternal diet during pregnancy is related with the infant stool microbiome in a delivery mode-dependent manner.,,,,,feces,UBERON:0001988,,,,,,16S,Yes,No
29517944,,Concurrent gut transcriptome and microbiota profiling following chronic ethanol consumption in nonhuman primates.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,cancer,MONDO:0004992,,4,16S,No,No
29969462,,Dysbiosis of oral microbiota and its association with salivary immunological biomarkers in autoimmune liver disease.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,56,16S,Yes,No
29965986,,The presence of genetic risk variants within PTPN2 and PTPN22 is associated with intestinal microbiota alterations in Swiss IBD cohort patients.,,Homo sapiens,NCBITaxon:9606,,,,,lung disease severity measurement,EFO:0007744,,,16S,Yes,No
29318631,,Early-life gut microbiome and egg allergy.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
29785502,,Comparative persistence of human sewage-specific enterococcal bacteriophages in freshwater and seawater.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,7,,No,No
29217277,,Absence of hybridization with the wild-type and mutant rpoB probes in the Genotype MTBDRplus assay detects 'disputed' rifampicin mutations.,,,,,,,,,,,,other,No,No
29637226,,Altered Profiles of Gut Microbiota in Klebsiella pneumoniae-Induced Pyogenic Liver Abscess.,,Mus musculus,NCBITaxon:10090,,,,,,,,,16S,Yes,No
29767712,,Limited influence of hospital wastewater on the microbiome and resistome of wastewater in a community sewerage system.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
29718191,,MetaCompare: a computational pipeline for prioritizing environmental resistome risk.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,metagenomics,No,No
29468742,,Dog introduction alters the home dust microbiota.,,,,,,,,,,,,16S,Yes,No
29452199,,Establishment of the nasal microbiota in the first 18 months of life: Correlation with early-onset rhinitis and wheezing.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,28,16S,Yes,No
29565634,,Prebiotic Potential of Herbal Medicines Used in Digestive Health and Disease.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
29515164,,Activation of Notch-1 in oral epithelial cells by P. gingivalis triggers the expression of the antimicrobial protein PLA,,,,,saliva,UBERON:0001836,,,,,,,No,No
29948900,,Characteristics of fecal microbiota in non-alcoholic fatty liver disease patients.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,non-alcoholic fatty liver disease severity measurement,EFO:0008421,,,16S,Yes,No
29988504,,Detection of Pulmonary Infectious Pathogens From Lung Biopsy Tissues by Metagenomic Next-Generation Sequencing.,,Homo sapiens,NCBITaxon:9606,,,,,pulmonary disorders indicating possible infection,,,20,metagenomics,No,No
29877551,,Ethanol extract of Ganoderma lucidum ameliorates lipid metabolic disorders and modulates the gut microbiota composition in high-fat diet fed rats.,,Rattus norvegicus,NCBITaxon:10116,,saliva,UBERON:0001836,,,,,,,Yes,No
29971220,,Association Between Gut Microbiota and ,,,,,,,,,,,,,No,No
29907093,,"Effect of administration of a probiotic preparation on gut microbiota and immune response in healthy women in India: an open-label, single-arm pilot study.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
29885665,,Bacterial biogeography of adult airways in atopic asthma.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,healthy,EFO:0000246,,45,16S,Yes,No
29884786,,Individuality and convergence of the infant gut microbiota during the first year of life.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,No,No
29679417,,A probiotic modulates the microbiome and immunity in multiple sclerosis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,9,16S,Yes,No
29863827,,Exposures Related to House Dust Microbiota in a U.S. Farming Population.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
29869736,,Composition and richness of the serum microbiome differ by age and link to systemic inflammation.,,,,,,,,,,,24,,Yes,No
28578302,,Fungal dysbiosis in cirrhosis.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,26,,Yes,No
29425873,,Digestibility of sulfated polysaccharide from the brown seaweed Ascophyllum nodosum and its effect on the human gut microbiota in vitro.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,obesity,EFO:0001073,,,other,Yes,No
29434314,,Elevated circulating levels of succinate in human obesity are linked to specific gut microbiota.,,Homo sapiens,NCBITaxon:9606,,,,,obesity,EFO:0001073,,,metagenomics,No,No
29726951,,"Walnut Consumption Alters the Gastrointestinal Microbiota, Microbially Derived Secondary Bile Acids, and Health Markers in Healthy Adults: A Randomized Controlled Trial.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,cancer,MONDO:0004992,,18,,Yes,No
29858350,,The Microbiome in Psoriasis and Psoriatic Arthritis: The Skin Perspective.,,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,,,No,No
29704918,,Microbiota-drug interactions: Impact on metabolism and efficacy of therapeutics.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
28483533,,Berry anthocyanin intake and cardiovascular health.,,,,,,,,,,,,,Yes,No
29710405,,In Vitro Fermentation Behavior of Isomalto/Malto-Polysaccharides Using Human Fecal Inoculum Indicates Prebiotic Potential.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
29857583,,Changes of Colonic Bacterial Composition in Parkinson's Disease and Other Neurodegenerative Diseases.,,Homo sapiens,NCBITaxon:9606,,,,,Parkinson disease,EFO:0002508,,,,No,No
29762733,,The effect of vaginal microbial communities on colonization by Staphylococcus aureus with the gene for toxic shock syndrome toxin 1 (TSST-1): a case-control study.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
29388394,,Composition of gut microbiota in obese and normal-weight Mexican school-age children and its association with metabolic traits.,,,,,,,,obesity,EFO:0001073,,,16S,Yes,No
29256975,,Gene Expression Profiling of Bronchoalveolar Lavage Cells During Aspergillus Colonization of the Lung Allograft.,,Homo sapiens,NCBITaxon:9606,,,,,,,,12,,Yes,No
29574656,,Differences in Type I interferon response in human lung epithelial cells infected by highly pathogenic H5N1 and low pathogenic H11N1 avian influenza viruses.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
28705725,,Assessing the impact of protein extraction methods for human gut metaproteomics.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,metagenomics,Yes,No
29799027,,Differential metabolic effects of oral butyrate treatment in lean versus metabolic syndrome subjects.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,diabetes mellitus,EFO:0000400,,9,,Yes,No
29788934,,The lung microbiome in children with HIV-bronchiectasis: a cross-sectional pilot study.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,No,No
29764499,,Gestational diabetes is associated with change in the gut microbiota composition in third trimester of pregnancy and postpartum.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,diabetes mellitus,EFO:0000400,,50,16S,Yes,No
29763437,,"Postnatal colonization with human ""infant-type"" Bifidobacterium species alters behavior of adult gnotobiotic mice.",,Mus musculus,NCBITaxon:10090,,,,,,,,,16S,Yes,No
29593031,,Central Role of the NF-κB Pathway in the ,,,,,,,,,,,,,No,No
29965539,,[Influence of Different Patterns of Discharge on Microbial Diffusion in Municipal Treated Wastewater].,,,,,,,,,,,,other,No,No
29767701,,Microbiome-Mediated Effects of the Mediterranean Diet on Inflammation.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29713027,,Evaluation of chronic diarrhea and irritable bowel syndrome with diarrhea in adults in the era of precision medicine.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29571898,,Differential immune responses and microbiota profiles in children with autism spectrum disorders and co-morbid gastrointestinal symptoms.,,,,,,,,,,,,metagenomics,No,No
29401402,,"Potential of Lactobacillus plantarum ZDY2013 and Bifidobacterium bifidum WBIN03 in relieving colitis by gut microbiota, immune, and anti-oxidative stress.",,,,,feces,UBERON:0001988,,ulcerative colitis,EFO:0000729,,,,No,No
29097439,,Mucosa-associated invariant T cells link intestinal immunity with antibacterial immune defects in alcoholic liver disease.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,,Yes,No
28341746,,Leveraging sequence-based faecal microbial community survey data to identify a composite biomarker for colorectal cancer.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,cancer,MONDO:0004992,,509,16S,Yes,No
29525681,,Gut microbiota dysbiosis is associated with Henoch-Schönlein Purpura in children.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,155,16S,Yes,No
29721826,,"Importance of differential identification of Mycobacterium tuberculosis strains for understanding differences in their prevalence, treatment efficacy, and vaccine development.",,,,,,,,,,,,,No,No
29610517,,Differential bacterial capture and transport preferences facilitate co-growth on dietary xylan in the human gut.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
28263087,,Protein-losing enteropathy in an infant with rotavirus infection.,,,,,feces,UBERON:0001988,,,,,,,Yes,No
29618180,,Comparative Analysis of Gut Microbial Communities in Children under 5 Years Old with Diarrhea.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,16S,No,No
29633639,,"Stool and urine trefoil factor 3 levels: associations with symptoms, intestinal permeability, and microbial diversity in irritable bowel syndrome.",,,,,feces,UBERON:0001988,,,,,,16S,Yes,No
29482339,,Gut microbiota characterisation in obese patients before and after bariatric surgery.,,Homo sapiens,NCBITaxon:9606,,,,,obesity,EFO:0001073,,,,No,No
29482338,,Effect of Bacillus subtilis C-3102 on loose stools in healthy volunteers.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
29740427,,Intestinal Microbiota at Engraftment Influence Acute Graft-Versus-Host Disease ,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29669883,,Impact of Long-Term Erythromycin Therapy on the Oropharyngeal Microbiome and Resistance Gene Reservoir in Non-Cystic Fibrosis Bronchiectasis.,,,,,,,,,,,,16S,Yes,No
29668720,,Do we treat our patients or rather periodontal microbes with adjunctive antibiotics in periodontal therapy? A 16S rDNA microbial community analysis.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,89,16S,Yes,No
29666288,,Microbiota and Metatranscriptome Changes Accompanying the Onset of Gingivitis.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,,16S,Yes,No
29642940,,Multi-cohort analysis of colorectal cancer metagenome identified altered bacteria across populations and universal bacterial markers.,,Homo sapiens,NCBITaxon:9606,,,,,cancer,MONDO:0004992,,,metagenomics,Yes,No
29355542,,No appendix necessary: Fecal transplants and antibiotics can resolve Clostridium difficile infection.,,,,,feces,UBERON:0001988,,,,,,,Yes,No
29632427,,Fecal microbial dysbiosis in Chinese patients with inflammatory bowel disease.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,inflammatory bowel disease,EFO:0003764,,15,16S,Yes,No
29681906,,Infection of ,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29623445,,Role of the Microbiome in Food Allergy.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,,,Yes,No
29615108,,Phages infecting Faecalibacterium prausnitzii belong to novel viral genera that help to decipher intestinal viromes.,,Mus musculus,NCBITaxon:10090,,,,,healthy,EFO:0000246,,,metagenomics,Yes,No
29127623,,Differences in bacterial composition between men's and women's restrooms and other common areas within a public building.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
29524863,,The gut microbiome and elevated cardiovascular risk in obesity and autoimmunity.,,Homo sapiens,NCBITaxon:9606,,,,,obesity,EFO:0001073,,,,Yes,No
29393577,,Adhesion and invasion attributes of Burkholderia pseudomallei are dependent on airway surface liquid and glucose concentrations in lung epithelial cells.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29233857,,"Timing of food intake impacts daily rhythms of human salivary microbiota: a randomized, crossover study.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
29083504,,The circulating microbiome signature and inferred functional metagenomics in alcoholic hepatitis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,18,16S,Yes,No
29524219,,Whole Tibetan Hull-Less Barley Exhibit Stronger Effect on Promoting Growth of Genus Bifidobacterium than Refined Barley In Vitro.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
29531366,,Towards predicting the environmental metabolome from metagenomics with a mechanistic model.,,,,,,,,,,,,,No,No
29502926,,Phenylketonuric diet negatively impacts on butyrate production.,,,,,feces,UBERON:0001988,,,,,,,Yes,No
29405661,,"In children, the microbiota of the nasopharynx and bronchoalveolar lavage fluid are both similar and different.",,Homo sapiens,NCBITaxon:9606,,,,,,,,72,16S,Yes,No
29444477,,The microbiome in chronic kidney disease patients undergoing hemodialysis and peritoneal dialysis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29269441,,Sputum microbiome temporal variability and dysbiosis in chronic obstructive pulmonary disease exacerbations: an analysis of the COPDMAP study.,,Homo sapiens,NCBITaxon:9606,,,,,,,,281,16S,Yes,No
29596446,,"Gut microbiota varies by opioid use, circulating leptin and oxytocin in African American men with diabetes and high burden of chronic disease.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,obesity,EFO:0001073,,99,16S,Yes,No
29424773,,Vaginal microbiota and susceptibility to HIV.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29636752,,Autoantibodies in Autoimmune Liver Disease-Clinical and Diagnostic Relevance.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29426044,,Dysbiosis of Inferior Turbinate Microbiota Is Associated with High Total IgE Levels in Patients with Allergic Rhinitis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29522532,,Fluctuations in airway bacterial communities associated with clinical states and disease stages in cystic fibrosis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,No,No
28891751,,Rotavirus vaccine response correlates with the infant gut microbiota composition in Pakistan.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
29447975,,Profiling of novel microRNAs elicited by EV71 and CA16 infection in human bronchial epithelial cells using high-throughput sequencing.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,other,Yes,No
29308654,,Short Communication: Anatomic Site of Sampling and the Rectal Mucosal Microbiota in HIV Negative Men Who Have Sex with Men Engaging in Condomless Receptive Anal Intercourse.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,No,No
29052232,,Different functional genes of upper airway microbiome associated with natural course of childhood asthma.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,,other,No,No
29122754,,Limited role of kininogen in the host response during gram-negative pneumonia-derived sepsis.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
29278751,,Correlation between gut microbiota and personality in adults: A cross-sectional study.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
29172724,,Distribution and Diversity of Ocular Microbial Communities in Diabetic Patients Compared with Healthy Subjects.,,Homo sapiens,NCBITaxon:9606,,,,,diabetes mellitus,EFO:0000400,,,16S,Yes,No
29353421,,"1-Day or 5-Day Fecal Samples, Which One is More Beneficial to be Used for DNA-Based Gut Microbiota Study.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
29368074,,Association between duration of intravenous antibiotic administration and early-life microbiota development in late-preterm infants.,,,,,feces,UBERON:0001988,,,,,,16S,Yes,No
29283459,,Characterization of the facial microbiome in twins discordant for rosacea.,,,,,,,,,,,,,Yes,No
29293960,,Assessment of the cPAS-based BGISEQ-500 platform for metagenomic sequencing.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,metagenomics,Yes,No
28986935,,Diagnosis and management of diaper dermatitis in infants with emphasis on skin microbiota in the diaper area.,,,,,feces,UBERON:0001988,,,,,,,Yes,No
28883543,,"Pre-treatment microbial Prevotella-to-Bacteroides ratio, determines body fat loss success during a 6-month randomized controlled diet intervention.",,Homo sapiens,NCBITaxon:9606,,,,,,,,62,,Yes,No
29183642,,Tick-borne diseases and autoimmunity: A comprehensive review.,,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,,,Yes,No
29028181,,Unbiased Taxonomic Annotation of Metagenomic Samples.,,,,,,,,,,,,metagenomics,No,No
29458668,,Shift of microbial composition of peri-implantitis-associated oral biofilm as revealed by 16S rRNA gene cloning.,,,,,,,,,,,,16S,Yes,No
29521257,,Future Technologies.,,,,,,,,,,,,other,Yes,No
29663582,,The skin microbiome of wound scars and unaffected skin in patients with moderate to severe burns in the subacute phase.,,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,,16S,Yes,No
29486796,,Differential human gut microbiome assemblages during soil-transmitted helminth infections in Indonesia and Liberia.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29489859,,Emollient use alters skin barrier and microbes in infants at risk for developing atopic dermatitis.,,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,11,16S,No,No
29264969,,Effects of fermented soymilk with Lactobacillus casei Shirota on skin condition and the gut microbiota: a randomised clinical pilot trial.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
29124969,,The gut mycobiome composition is linked to carotid atherosclerosis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29486761,,Impaired diversity of the lung microbiome predicts progression of idiopathic pulmonary fibrosis.,,Mus musculus,NCBITaxon:10090,,,,,,,,,16S,Yes,No
29470389,,"A Walnut-Enriched Diet Affects Gut Microbiome in Healthy Caucasian Subjects: A Randomized, Controlled Trial.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,135,16S,Yes,No
29458413,,Gut microbiota trajectory in early life may predict development of celiac disease.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,10,16S,Yes,No
29483715,,[Salivary microbiome in people with obesity: a pilot study].,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,obesity,EFO:0001073,,,,Yes,No
29453431,,Delayed gut microbiota development in high-risk for asthma infants is temporarily modifiable by Lactobacillus supplementation.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
29040451,,An omnibus test for differential distribution analysis of microbiome sequencing data.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,other,Yes,No
29378945,,Adaptation of commensal proliferating ,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29363966,,"Arabinoxylo-Oligosaccharides and Inulin Impact Inter-Individual Variation on Microbial Metabolism and Composition, Which Immunomodulates Human Cells.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
29468143,,Metagenomic Characterization of the Human Intestinal Microbiota in Fecal Samples from STEC-Infected Patients.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,metagenomics,No,No
29343501,,Sequential BMP7/TGF-β1 signaling and microbiota instruct mucosal Langerhans cell differentiation.,,,,,,,,,,,,,Yes,No
29273643,,Plasmacytoid dendritic cells protect from viral bronchiolitis and asthma through semaphorin 4a-mediated T reg expansion.,,,,,,,,,,,,,No,No
29394894,,Differential effects of innate immune variants of surfactant protein-A1 (SFTPA1) and SP-A2 (SFTPA2) in airway function after Klebsiella pneumoniae infection and sex differences.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
29394957,,Individual and household attributes influence the dynamics of the personal skin microbiota and its association network.,,,,,skin,UBERON:0002097,,,,,,,Yes,No
29394954,,Crawling-induced floor dust resuspension affects the microbiota of the infant breathing zone.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
29128130,,Spanish Guidelines on the Evaluation and Diagnosis of Bronchiectasis in Adults.,,,,,,,,,,,,,No,No
29092015,,MetaCherchant: analyzing genomic context of antibiotic resistance genes in gut microbiota.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,metagenomics,Yes,No
29028448,,Characterization of the Stool Microbiome in Hispanic Preschool Children by Weight Status and Time.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
29031501,,DNA Methylation and Transcription Patterns in Intestinal Epithelial Cells From Pediatric Patients With Inflammatory Bowel Diseases Differentiate Disease Subtypes and Associate With Outcome.,,Homo sapiens,NCBITaxon:9606,,,,,inflammatory bowel disease,EFO:0003764,,236,16S,No,No
27872184,,Functional variants in the sucrase-isomaltase gene associate with increased risk of irritable bowel syndrome.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
